instnm,Applicants total (ADM2015),
Abilene Christian University,10804,
Abraham Baldwin Agricultural College,2653,
Academy of Interactive Entertainment,66,
Academy of Interactive Entertainment,69,
Adams State University,2592,
Adelphi University,9367,
Adrian College,5294,
Adult and Community Education-Hudson,24,
Advanced Technology Institute,562,
Adventist University of Health Sciences,189,
Advertising Art Educational Services DBA School of Advertising Art,468,
Agnes Scott College,1461,
AIB College of Business,405,
Akron School of Practical Nursing,58,
Alabama A & M University,7901,
Alabama State University,8356,
Alaska Pacific University,699,
Albany College of Pharmacy and Health Sciences,1421,
Albany State University,2196,
Albion College,2703,
Albright College,7645,
Alcorn State University,3010,
Alderson Broaddus University,4206,
Alfred University,3640,
Alice Lloyd College,4811,
Allegheny College,4324,
Allen College,3,
Alliant International University-San Diego,71,
Alma College,2479,
Alvernia University,1670,
Alverno College,613,
American Academy of Dramatic Arts-Los Angeles,1895,
American Academy of Dramatic Arts-New York,374,
American College of Healthcare Sciences,37,
American Conservatory Theater,1,
American Institute of Alternative Medicine,10,
American Institute of Medical Technology,13,
American International College,2060,
AMERICAN ISLAMIC COLLEGE,7,
American Jewish University,56,
American Musical and Dramatic Academy,8866,
American University,16735,
American University of Health Sciences,1,
AmeriTech College-Draper,53,
AmeriTech College-Provo,18,
Amherst College,8568,
Anderson University,2620,
Anderson University,3322,
Andrew College,400,
Andrews University,2201,
Angelo State University,3871,
Anna Maria College,1785,
Annenberg School of Nursing,4,
Antioch College,140,
Appalachian Bible College,101,
Appalachian State University,13083,
Aquinas College,2635,
Aquinas College,183,
Arcadia University,9641,
Aria Health School of Nursing,16,
Arizona Christian University,486,
Arizona State University-Downtown Phoenix,5066,
Arizona State University-Polytechnic,1771,
Arizona State University-Skysong,8789,
Arizona State University-Tempe,25380,
Arizona State University-West,1357,
Arkansas State University-Main Campus,5346,
Arkansas Tech University,4619,
Armstrong State University,2403,
Arnot Ogden Medical Center,5,
Art Academy of Cincinnati,579,
Art Center College of Design,610,
Asbury University,1620,
Ashland University,3087,
Assabet Valley Regional Technical School,25,
Associated Beth Rivkah Schools,62,
Assumption College,4771,
Atelier Esthetique Institute of Esthetics,40,
Atlanta Institute of Music and Media,106,
ATS Institute of Technology,103,
Auburn University,19414,
Auburn University at Montgomery,2494,
Augsburg College,2925,
Augusta University,2096,
Augustana College,6712,
Augustana University,1463,
Aultman College of Nursing and Health Sciences,15,
Aurora University,2843,
Austin College,3357,
Austin Peay State University,3595,
Autry Technology Center,123,
Ave Maria University,2261,
Averett University,2262,
Averett University-Non-Traditional Programs,300,
Avila University,2018,
Azusa Pacific University,6084,
B M Spurr School of Practical Nursing,6,
Babson College,7516,
Bacone College,1408,
Bais Binyomin Academy,16,
Bais HaMedrash and Mesivta of Baltimore,23,
Bais Medrash Toras Chesed,84,
Baker University,903,
Baldwin Wallace University,4363,
Ball State University,22147,
Baptist Health College-Little Rock,34,
Baptist Memorial College of Health Sciences,287,
Baptist Missionary Association Theological Seminary,10,
Barclay College,95,
Bard College,7044,
Bard College at Simon's Rock,199,
Barnard College,6655,
Barry University,3765,
Barton College,2920,
Bates College,5651,
Bay Path University,1148,
Baylor University,32136,
Be'er Yaakov Talmudic Seminary,151,
Beacon College,205,
Becker College,3268,
Beis Medrash Heichal Dovid,82,
Bel-Rea Institute of Animal Technology,231,
Belanger School of Nursing,17,
Belhaven University,3053,
Bellarmine University,5885,
Bellin College,42,
Belmont Abbey College,1967,
Belmont University,6145,
Beloit College,3552,
Bemidji State University,2566,
Benedictine College,2345,
Bennett College,1478,
Bennington College,1099,
Bentley University,8346,
Berea College,1635,
Berklee College of Music,8071,
Berry College,4347,
Bet Medrash Gadol Ateret Torah,40,
Beth Hamedrash Shaarei Yosher Institute,24,
Beth Hatalmud Rabbinical College,2,
Beth Medrash Meor Yitzchok,105,
Bethany College,1650,
Bethany College,1168,
Bethany Global University,93,
Bethany Lutheran College,347,
Bethel College-Indiana,1938,
Bethel College-North Newton,862,
Bethel University,1149,
Bethel University,1531,
Bethlehem College & Seminary,33,
Beverly Hills Design Institute,32,
Bidwell Training Center Inc,37,
Biola University,3874,
Birmingham Southern College,3679,
Birthwise Midwifery School,4,
Black Hills State University,1385,
Blackburn College,1078,
Bloomfield College,3027,
Bloomsburg University of Pennsylvania,9795,
Blue Hills Regional Technical School,11,
Blue Mountain College,126,
Bluefield College,669,
Bluefield State College,618,
Bluffton University,1652,
Bob Jones University,1101,
Boise Bible College,54,
Boise State University,8156,
Boston Baptist College,13,
Boston College,29486,
Boston University,54781,
Bowdoin College,6790,
Bowie State University,2671,
Bowling Green State University-Main Campus,14632,
Bradford School,582,
Bradley University,9186,
Brandeis University,10528,
Brandman University,51,
Brenau University,2324,
Brescia University,4153,
Brevard College,3215,
Bridgewater College,7187,
Bridgewater State University,5868,
Brigham Young University-Hawaii,2869,
Brigham Young University-Idaho,6805,
Brigham Young University-Provo,13376,
Bristol University,78,
Brooks Institute,367,
Broome Delaware Tioga BOCES-Practical Nursing Program,31,
Brown College of Court Reporting,27,
Brown University,30396,
Bryan College of Health Sciences,69,
Bryan College-Dayton,716,
Bryant University,6705,
Bryn Athyn College of the New Church,439,
Bryn Mawr College,2890,
Bucknell University,10967,
Buena Vista University,1372,
Butler University,9943,
Cabarrus College of Health Sciences,32,
Cabrini University,2544,
Cairn University-Langhorne,390,
Caldwell University,3582,
California Baptist University,4180,
California Christian College,2,
California College of the Arts,1990,
California Institute of Technology,6506,
California Institute of the Arts,2158,
California Jazz Conservatory,3,
California Lutheran University,6569,
California Polytechnic State University-San Luis Obispo,46820,
California State Polytechnic University-Pomona,33855,
California State University Maritime Academy,1206,
California State University-Bakersfield,8432,
California State University-Channel Islands,9517,
California State University-Chico,22760,
California State University-Dominguez Hills,16018,
California State University-East Bay,14775,
California State University-Fresno,19938,
California State University-Fullerton,41841,
California State University-Long Beach,58109,
California State University-Los Angeles,31855,
California State University-Monterey Bay,15561,
California State University-Northridge,34444,
California State University-Sacramento,22863,
California State University-San Bernardino,13804,
California State University-San Marcos,13718,
California State University-Stanislaus,7081,
California University of Pennsylvania,3590,
Calvary University,52,
Calvin College,3824,
Cambridge Junior College-Woodland,46,
Cambridge Junior College-Yuba City,132,
Campbell University,6626,
Campbellsville University,2579,
Canisius College,4209,
Canton City Schools Adult Career and Technical Education,102,
Capital University,3734,
Capitol Technology University,358,
Cardinal Stritch University,783,
Career Center of Southern Illinois,29,
Carleton College,6722,
Carlos Albizu University-Miami,25,
Carlos Albizu University-San Juan,81,
Carlow University,945,
Carnegie Mellon University,20547,
Carolina School of Broadcasting,3,
Carolinas College of Health Sciences,34,
Carrington College-Albuquerque,62,
Carrington College-Boise,30,
Carrington College-Citrus Heights,60,
Carrington College-Las Vegas,68,
Carrington College-Mesa,144,
Carrington College-Mesquite,79,
Carrington College-Phoenix East,43,
Carrington College-Phoenix North,246,
Carrington College-Pleasant Hill,75,
Carrington College-Pomona,58,
Carrington College-Portland,60,
Carrington College-Reno,45,
Carrington College-Sacramento,121,
Carrington College-San Jose,61,
Carrington College-San Leandro,80,
Carrington College-Spokane,56,
Carrington College-Stockton,88,
Carrington College-Tucson,133,
Carroll College,3513,
Carroll University,2337,
Carson-Newman University,5871,
Carthage College,7168,
Casa Loma College-Van Nuys,231,
Casal Institute of Nevada,220,
Case Western Reserve University,22807,
Cass Career Center,4,
Castleton University,2076,
Catawba College,3117,
Catholic University of America,5991,
Cazenovia College,2307,
Cedar Crest College,1086,
Cedarville University,3159,
Centenary College of Louisiana,747,
Centenary University,1186,
Center for Advanced Legal Studies,64,
Center for Instruction Technology & Innovation (CiTi),294,
Center for Natural Wellness School of Massage Therapy,46,
Central Baptist College,358,
Central Baptist Theological Seminary,5,
Central Christian College of the Bible,381,
Central Coast College,77,
Central College,3071,
Central Connecticut State University,8686,
Central Methodist University-College of Graduate and Extended Studies,20,
Central Methodist University-College of Liberal Arts and Sciences,1431,
Central Michigan University,18575,
Central Penn College,582,
Central State University,6502,
Central Susquehanna Intermediate Unit LPN Career,83,
Central Washington University,4934,
Central Yeshiva Tomchei Tmimim Lubavitz,62,
Centre College,2716,
Chamberlain College of Nursing-Arizona,10,
Chamberlain College of Nursing-Florida,12,
Chamberlain College of Nursing-Georgia,20,
Chamberlain College of Nursing-Illinois,25,
Chamberlain College of Nursing-Indiana,7,
Chamberlain College of Nursing-Michigan,2,
Chamberlain College of Nursing-Missouri,5,
Chamberlain College of Nursing-Nevada,5,
Chamberlain College of Nursing-New Jersey,4,
Chamberlain College of Nursing-Ohio,37,
Chamberlain College of Nursing-Texas,11,
Chamberlain College of Nursing-Virginia,6,
Chaminade University of Honolulu,896,
Champlain College,5587,
Chapman University,13670,
Charleston Southern University,4390,
Chatham University,1490,
Chester County Intermediate Unit,30,
Chestnut Hill College,1215,
Chicago State University,5883,
Chowan University,4829,
Christian Brothers University,2321,
Christopher Newport University,7366,
Cincinnati Christian University,227,
Circle in the Square Theatre School,120,
Citadel Military College of South Carolina,2436,
Citizens School of Nursing,3,
Claflin University,5418,
Claremont McKenna College,7156,
Clarion County Career Center Practical Nursing Program,24,
Clarion University of Pennsylvania,2215,
Clark Atlanta University,8611,
Clark University,8045,
Clarke University,1257,
Clarks Summit University,231,
Clarkson College,83,
Clarkson University,6906,
Clayton  State University,2774,
Cleary University,195,
Clemson University,22396,
Cleveland Institute of Art,738,
Cleveland Institute of Music,442,
Cleveland State University,10510,
Cleveland University-Kansas City,4,
Clinton Essex Warren Washington BOCES,172,
Coastal Carolina University,17252,
Coe College,3457,
Cogswell College,349,
Coker College,1484,
Colby College,7593,
Colby-Sawyer College,2172,
Colegio Universitario de San Juan,292,
Coleman University,87,
Colgate University,8724,
College for Creative Studies,1681,
College of Charleston,11722,
College of Coastal Georgia,1297,
College of Massage Therapy,37,
College of Micronesia-FSM,1613,
College of Mount Saint Vincent,2734,
College of Our Lady of the Elms,832,
College of Saint Benedict,1860,
College of Saint Elizabeth,804,
College of Saint Mary,314,
College of St Joseph,234,
College of Staten Island CUNY,11324,
College of the Atlantic,400,
College of the Holy Cross,6595,
College of the Ozarks,3122,
College of William and Mary,14952,
Colorado Academy of Veterinary Technology,15,
Colorado College,8060,
Colorado Mesa University,6670,
Colorado School of Mines,11752,
Colorado State University-Fort Collins,18556,
Colorado State University-Pueblo,6178,
Columbia Area Career Center,31,
Columbia College,515,
Columbia College Chicago,8391,
Columbia College-Hollywood,268,
Columbia International University,553,
Columbia University in the City of New York,36911,
Columbus College of Art and Design,727,
Columbus State University,3157,
Compass College of Cinematic Arts,44,
Conception Seminary College,19,
Concord University,1451,
Concorde Career College-Aurora,303,
Concorde Career College-Dallas,292,
Concorde Career College-Garden Grove,331,
Concorde Career College-Grand Prairie,288,
Concorde Career College-Kansas City,182,
Concorde Career College-Memphis,787,
Concorde Career College-North Hollywood,270,
Concorde Career College-Portland,135,
Concorde Career College-San Antonio,384,
Concorde Career College-San Bernardino,264,
Concorde Career College-San Diego,276,
Concorde Career Institute-Jacksonville,337,
Concorde Career Institute-Miramar,313,
Concorde Career Institute-Orlando,138,
Concorde Career Institute-Tampa,231,
Concordia College Alabama,3768,
Concordia College at Moorhead,2278,
Concordia College-New York,1024,
Concordia University-Ann Arbor,898,
Concordia University-Chicago,4448,
Concordia University-Irvine,3135,
Concordia University-Nebraska,1380,
Concordia University-Portland,2336,
Concordia University-Saint Paul,1483,
Concordia University-Texas,1036,
Concordia University-Wisconsin,2937,
Connecticut College,5182,
Converse College,1316,
Coppin State University,4453,
Corban University,3108,
Cornell College,1936,
Cornell University,41900,
Cornerstone University,2620,
Cornish College of the Arts,897,
Cottey College,412,
Covenant College,615,
Covenant School of Nursing and Allied Health,3,
Cox College,32,
Creighton University,9747,
Criswell College,16,
Crossroads College,34,
Crown College,1052,
Culinary Institute of America,1431,
Culver-Stockton College,2913,
Cumberland University,695,
CUNY Bernard M Baruch College,19864,
CUNY Brooklyn College,20324,
CUNY City College,20331,
CUNY Hunter College,28041,
CUNY John Jay College of Criminal Justice,13398,
CUNY Lehman College,14076,
CUNY Medgar Evers College,7730,
CUNY New York City College of Technology,16881,
CUNY Queens College,18416,
CUNY York College,13889,
Curry College,5554,
Curtis Institute of Music,541,
Cuyahoga Valley Career Center,28,
CVPH Medical Center School of Radiologic Technology,35,
D'Youville College,1220,
Daemen College,2959,
Dakota State University,912,
Dakota Wesleyan University,644,
Dallas Baptist University,2949,
Dallas Christian College,271,
Dallas Nursing Institute,754,
Daniel Webster College,815,
Dartmouth College,20507,
Davenport University,2219,
Davidson College,5382,
